Date,Price
5/18/2021,79.6
5/19/2021,79.6
5/20/2021,79.5
5/21/2021,80.1
5/23/2021,80.1
5/24/2021,79.7
5/25/2021,79.9
5/26/2021,79.8
5/27/2021,79.6
5/28/2021,80.1
5/30/2021,80.1
5/31/2021,80.5
6/1/2021,80.6
6/2/2021,80.8
6/3/2021,82.8
6/4/2021,82.2
6/6/2021,82.2
6/7/2021,81.9
6/8/2021,81.9
6/9/2021,81.1
6/10/2021,81.0
6/11/2021,81.0
6/13/2021,81.0
6/14/2021,80.5
6/15/2021,80.9
6/16/2021,81.8
6/17/2021,80.9
6/18/2021,80.5
6/20/2021,80.5
6/21/2021,79.9
6/22/2021,80.0
6/23/2021,80.1
6/24/2021,81.2
6/25/2021,81.6
6/27/2021,81.6
6/28/2021,81.9
6/29/2021,81.0
6/30/2021,80.7
7/1/2021,80.1
7/2/2021,80.0
7/4/2021,80.0
7/5/2021,80.4
7/6/2021,81.2
7/7/2021,80.8
7/8/2021,79.9
7/9/2021,79.4
7/11/2021,79.4
7/12/2021,79.7
7/13/2021,79.8
7/14/2021,79.5
7/15/2021,80.6
7/16/2021,79.8
7/18/2021,79.8
7/19/2021,79.0
7/20/2021,79.0
7/21/2021,78.5
7/22/2021,79.7
7/23/2021,79.3
7/25/2021,79.3
7/26/2021,78.8
7/27/2021,78.5
7/28/2021,79.2
7/29/2021,79.0
7/30/2021,78.5
8/1/2021,78.5
8/2/2021,79.3
8/3/2021,81.4
8/4/2021,82.9
8/5/2021,82.1
8/6/2021,81.5
8/8/2021,81.5
8/9/2021,81.5
8/10/2021,80.2
8/11/2021,78.5
8/12/2021,77.0
8/13/2021,74.4
8/16/2021,74.4
8/17/2021,74.2
8/18/2021,73.9
8/19/2021,73.1
8/20/2021,72.7
8/22/2021,72.7
8/23/2021,73.3
8/24/2021,75.6
8/25/2021,75.7
8/26/2021,74.6
8/27/2021,74.3
8/29/2021,74.3
8/30/2021,74.6
8/31/2021,76.7
9/1/2021,76.8
9/2/2021,76.0
9/3/2021,76.6
9/5/2021,76.6
9/6/2021,77.3
9/7/2021,76.1
9/8/2021,76.3
9/9/2021,75.3
9/10/2021,75.3
9/12/2021,75.3
9/13/2021,76.3
9/14/2021,76.6
9/15/2021,77.0
9/16/2021,76.1
9/17/2021,77.2
9/22/2021,77.2
9/23/2021,77.4
9/24/2021,77.3
9/26/2021,77.3
9/27/2021,77.7
9/28/2021,76.3
9/29/2021,74.1
9/30/2021,74.1
10/1/2021,73.2
10/4/2021,73.2
10/5/2021,72.2
10/6/2021,71.3
10/7/2021,71.6
10/8/2021,71.5
10/11/2021,71.5
10/12/2021,69.0
10/13/2021,68.8
10/14/2021,69.4
10/15/2021,70.1
10/17/2021,70.1
10/18/2021,70.2
10/19/2021,70.6
10/20/2021,70.3
10/21/2021,70.2
10/22/2021,70.4
10/24/2021,70.4
10/25/2021,70.2
10/26/2021,71.1
10/27/2021,70.1
10/28/2021,70.7
10/29/2021,69.8
10/31/2021,69.8
11/1/2021,69.9
11/2/2021,71.5
11/3/2021,70.4
11/4/2021,70.6
11/5/2021,70.2
11/7/2021,70.2
11/8/2021,70.6
11/9/2021,70.5
11/10/2021,70.2
11/11/2021,69.9
11/12/2021,70.6
11/14/2021,70.6
11/15/2021,71.4
11/16/2021,71.3
11/17/2021,70.7
11/18/2021,70.2
11/19/2021,71.2
11/21/2021,71.2
11/22/2021,74.9
11/23/2021,75.3
11/24/2021,74.8
11/25/2021,73.7
11/26/2021,72.3
11/28/2021,72.3
11/29/2021,72.3
11/30/2021,71.3
12/1/2021,74.4
12/2/2021,75.8
12/3/2021,75.6
12/5/2021,75.6
12/6/2021,76.3
12/7/2021,77.4
12/8/2021,77.4
12/9/2021,78.2
12/10/2021,76.9
12/12/2021,76.9
12/13/2021,76.8
12/14/2021,77.0
12/15/2021,77.6
12/16/2021,77.8
12/17/2021,78.0
12/19/2021,78.0
12/20/2021,77.1
12/21/2021,78.1
12/22/2021,79.4
12/23/2021,79.9
12/24/2021,80.5
12/26/2021,80.5
12/27/2021,80.2
12/28/2021,80.3
12/29/2021,78.8
12/30/2021,78.3
1/3/2022,78.6
1/4/2022,78.7
1/5/2022,77.4
1/6/2022,76.9
1/7/2022,78.3
1/9/2022,78.3
1/10/2022,78.0
1/11/2022,78.9
1/12/2022,78.9
1/13/2022,77.9
1/14/2022,77.3
1/16/2022,77.3
1/17/2022,77.5
1/18/2022,77.0
1/19/2022,76.3
1/20/2022,76.5
1/21/2022,75.6
1/23/2022,75.6
1/24/2022,75.1
1/25/2022,74.0
1/26/2022,73.3
1/27/2022,71.3
1/28/2022,73.3
2/3/2022,73.3
2/4/2022,74.0
2/6/2022,74.0
2/7/2022,73.0
2/8/2022,73.5
2/9/2022,74.7
2/10/2022,75.4
2/11/2022,74.9
2/13/2022,74.9
2/14/2022,73.7
2/15/2022,73.7
2/16/2022,74.8
2/17/2022,75.0
2/18/2022,74.3
2/20/2022,74.3
2/21/2022,74.2
2/22/2022,73.4
2/23/2022,73.0
2/24/2022,71.5
2/25/2022,71.9
2/27/2022,71.9
2/28/2022,72.1
3/1/2022,72.1
3/2/2022,71.7
3/3/2022,72.9
3/4/2022,71.5
3/6/2022,71.5
3/7/2022,70.1
3/8/2022,69.5
3/9/2022,69.5
3/10/2022,71.2
3/11/2022,70.0
3/13/2022,70.0
3/14/2022,70.2
3/15/2022,69.5
3/16/2022,70.4
3/17/2022,71.2
3/18/2022,70.7
3/20/2022,70.7
3/21/2022,69.9
3/22/2022,70.3
3/23/2022,70.5
3/24/2022,69.8
3/25/2022,69.8
3/27/2022,69.8
3/28/2022,69.7
3/29/2022,70.2
3/30/2022,69.9
3/31/2022,69.6
4/1/2022,69.1
4/3/2022,69.1
4/4/2022,69.3
4/5/2022,69.2
4/6/2022,68.5
4/7/2022,68.0
4/8/2022,67.8
4/10/2022,67.8
4/11/2022,67.9
4/12/2022,67.0
4/13/2022,68.7
4/14/2022,67.5
4/15/2022,66.6
4/17/2022,66.6
4/18/2022,66.7
4/19/2022,67.3
4/20/2022,67.4
4/21/2022,67.7
4/22/2022,67.0
4/24/2022,67.0
4/25/2022,66.3
4/26/2022,66.1
4/27/2022,65.0
4/28/2022,64.8
4/29/2022,67.4
5/1/2022,67.4
5/2/2022,67.3
5/3/2022,67.5
5/4/2022,67.9
5/5/2022,67.9
5/6/2022,66.5
5/8/2022,66.5
5/9/2022,66.1
5/10/2022,65.7
5/11/2022,65.7
5/12/2022,64.9
5/13/2022,66.5
5/15/2022,66.5
5/16/2022,66.3
5/17/2022,67.6
5/18/2022,68.1
5/19/2022,67.5
5/20/2022,68.0
5/22/2022,68.0
5/23/2022,67.9
5/24/2022,66.5
5/25/2022,66.4
