Date,Price
6/12/2019,48.55
6/13/2019,48.54
6/14/2019,48.19
6/17/2019,48.47
6/18/2019,49.61
6/19/2019,49.47
6/20/2019,49.87
6/21/2019,49.7
6/24/2019,49.65
6/25/2019,48.89
6/26/2019,49.95
6/27/2019,49.94
6/28/2019,49.48
7/1/2019,50.39
7/2/2019,50.68
7/3/2019,51.1
7/5/2019,51.06
7/8/2019,50.01
7/9/2019,50.31
7/10/2019,50.81
7/11/2019,50.44
7/12/2019,50.83
7/15/2019,51.3
7/16/2019,51.12
7/17/2019,50.84
7/18/2019,51.41
7/19/2019,50.65
7/22/2019,51.8
7/23/2019,52.21
7/24/2019,52.17
7/25/2019,51.76
7/26/2019,51.94
7/29/2019,52.42
7/30/2019,52.2
7/31/2019,53.26
8/1/2019,52.11
8/2/2019,51.01
8/5/2019,48.34
8/6/2019,49.25
8/7/2019,49.76
8/8/2019,50.86
8/9/2019,50.25
8/12/2019,50.12
8/13/2019,52.24
8/14/2019,50.69
8/15/2019,50.44
8/16/2019,51.62
8/19/2019,52.59
8/20/2019,52.59
8/21/2019,53.16
8/22/2019,53.12
8/23/2019,50.66
8/26/2019,51.62
8/27/2019,51.04
8/28/2019,51.38
8/29/2019,52.25
8/30/2019,52.19
9/3/2019,51.42
9/4/2019,52.3
9/5/2019,53.32
9/6/2019,53.31
9/9/2019,53.54
9/10/2019,54.17
9/11/2019,55.9
9/12/2019,55.77
9/13/2019,54.69
9/16/2019,54.98
9/17/2019,55.17
9/18/2019,55.69
9/19/2019,55.24
9/20/2019,54.43
9/23/2019,54.68
9/24/2019,54.42
9/25/2019,55.26
9/26/2019,54.97
9/27/2019,54.7
9/30/2019,55.99
10/1/2019,56.15
10/2/2019,54.74
10/3/2019,55.2
10/4/2019,56.75
10/7/2019,56.77
10/8/2019,56.1
10/9/2019,56.76
10/10/2019,57.52
10/11/2019,59.05
10/14/2019,58.97
10/15/2019,58.83
10/16/2019,58.59
10/17/2019,58.82
10/18/2019,59.1
10/21/2019,60.13
10/22/2019,59.99
10/23/2019,60.8
10/24/2019,60.9
10/25/2019,61.65
10/28/2019,62.26
10/29/2019,60.82
10/30/2019,60.81
10/31/2019,62.19
11/1/2019,63.95
11/4/2019,64.38
11/5/2019,64.28
11/6/2019,64.31
11/7/2019,64.86
11/8/2019,65.03
11/11/2019,65.55
11/12/2019,65.49
11/13/2019,66.12
11/14/2019,65.66
11/15/2019,66.44
11/18/2019,66.78
11/19/2019,66.57
11/20/2019,65.8
11/21/2019,65.5
11/22/2019,65.44
11/25/2019,66.59
11/26/2019,66.07
11/27/2019,66.96
11/29/2019,66.81
12/2/2019,66.04
12/3/2019,64.86
12/4/2019,65.44
12/5/2019,66.39
12/6/2019,67.68
12/9/2019,66.73
12/10/2019,67.12
12/11/2019,67.69
12/12/2019,67.86
12/13/2019,68.79
12/16/2019,69.97
12/17/2019,70.1
12/18/2019,69.94
12/19/2019,70
12/20/2019,69.86
12/23/2019,71
12/24/2019,71.07
12/26/2019,72.48
12/27/2019,72.45
12/30/2019,72.88
12/31/2019,73.41
1/2/2020,75.09
1/3/2020,74.36
1/6/2020,74.95
1/7/2020,74.6
1/8/2020,75.8
1/9/2020,77.41
1/10/2020,77.58
1/13/2020,79.24
